"Operadora de telefonia","Pct mercado","Período"
"VIVO","38.65","2T2024"
"VIVO","38.50","2T2025"
"CLARO","33.28","2T2024"
"CLARO","32.52","2T2025"
"TIM","23.73","2T2024"
"TIM","23.40","2T2025"
"ALGAR","1.60","2T2024"
"ALGAR","1.68","2T2025"
"Datora","1.00","2T2024"
"Datora","1.13","2T2025"
"SURF","0.41","2T2024"
"SURF","0.93","2T2025"
"Next Level","0.38","2T2024"
"Next Level","0.42","2T2025"
"Teleports","0.26","2T2024"
"Teleports","0.32","2T2025"
"BRISANET","0.05","2T2024"
"BRISANET","0.09","2T2025"
"VERO","0.07","2T2024"
"VERO","0.08","2T2025"
"UNIFIQUE","0.06","2T2024"
"UNIFIQUE","0.06","2T2025"
"LIGGA","0.01","2T2024"
"LIGGA","0.01","2T2025"